stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"811879","811879",A St & Belshaw St,37.999926,-121.806159,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=219","","","","",""
"813157","813157",A St & East 13th St,38.008782,-121.805925,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=74","","","","",""
"811908","811908",A St & East 13th St,38.008767,-121.806141,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=216","","","","",""
"813161","813161",A St & East 16th St,38.006161,-121.805918,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=70","","","","",""
"813135","813135",A St & East 19th St,38.00407,-121.805909,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=488","","","","",""
"811880","811880",A St & East 19th St,38.004323,-121.806159,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=218","","","","",""
"811898","811898",A St & West 16th St,38.006063,-121.806142,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=217","","","","",""
"819655","819655",A St & West 3rd St,38.016203,-121.808883,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=300","","","","",""
"811912","811912",A St & West 6th St,38.013789,-121.806289,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=215","","","","",""
"813119","813119",A St & West 6th St,38.013776,-121.806125,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=161","","","","",""
"812682","812682",Atlantic Ave & Atlantic Cir,38.00803,-121.89151,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=137","","","","",""
"812761","812761",Atlantic Ave & Atlantic Cir,38.007997,-121.888573,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=139","","","","",""
"812774","812774",Atlantic Ave & Atlantic Cir,38.007693,-121.890825,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=138","","","","",""
"812994","812994",Auto Center Dr & Century Blvd,38.00634,-121.834819,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=150","","","","",""
"816680","816680",Auto Center Dr & Costco Way,38.008888,-121.83217,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=274","","","","",""
"812047","812047",Auto Center Dr & Sycamore Dr,38.005931,-121.834741,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=203","","","","",""
"815825","815825",Auto Center Dr & West 18th St,38.007665,-121.832915,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=273","","","","",""
"812505","812505",Bailey Rd & Canal Rd,38.020849,-121.94203,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=165","","","","",""
"812431","812431",Bailey Rd & Canal Rd,38.021004,-121.941729,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=166","","","","",""
"812514","812514",Bailey Rd & Mary Ann Ln,38.024632,-121.942064,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=167","","","","",""
"814259","814259",Bailey Rd & Maylard St,38.017257,-121.941809,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=164","","","","",""
"819266","819266",Bailey Rd & Maylard St,38.016165,-121.942116,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=163","","","","",""
"819087","819087",Bailey Rd & Placer Dr,38.024787,-121.941795,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=168","","","","",""
"816520","816520",Balclutha Wy & Polaris Dr,38.022912,-121.921902,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=540","","","","",""
"819324","819324",Balclutha Wy & Willow Pass Rd,38.026323,-121.923892,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=720","","","","",""
"819330","819330",Balclutha Wy & Willow Pass Rd,38.026348,-121.923827,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=721","","","","",""
"811281","811281",Balfour Rd & American Ave,37.925162,-121.751831,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=644","","","","",""
"811456","811456",Balfour Rd & Claremont Dr,37.925281,-121.714289,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=696","","","","",""
"811384","811384",Balfour Rd & Clearview Dr,37.925505,-121.719073,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=697","","","","",""
"811268","811268",Balfour Rd & Foothill Dr,37.925167,-121.741244,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=646","","","","",""
