route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
393,72971,2990,Westbound Antioch BART,1,304,69,,,
393,72970,2857,Westbound Antioch BART,1,203,69,,,
393,72971,3039,Westbound Antioch BART,1,309,69,,,
393,72970,2939,Westbound Antioch BART,1,214,69,,,
393,72971,3068,Westbound Antioch BART,1,312,69,,,
393,72970,2859,Westbound Antioch BART,1,203,69,,,
393,72971,3041,Westbound Antioch BART,1,309,69,,,
393,72970,2917,Westbound Antioch BART,1,210,69,,,
393,72971,3070,Westbound Antioch BART,1,312,69,,,
393,72970,2889,Westbound Antioch BART,1,206,69,,,
393,72971,3043,Westbound Antioch BART,1,309,69,,,
393,72970,2880,Westbound Antioch BART,1,205,69,,,
393,72971,3035,Westbound Antioch BART,1,308,69,,,
393,72970,2868,Westbound Antioch BART,1,204,69,,,
393,72971,2994,Westbound Antioch BART,1,304,69,,,
393,72970,2954,Westbound Antioch BART,1,217,69,,,
393,72971,3017,Westbound Antioch BART,1,306,69,,,
393,72970,2966,Westbound Antioch BART,1,219,69,,,
393,72971,3079,Westbound Antioch BART,1,313,69,,,
393,72970,2893,Westbound Antioch BART,1,206,69,,,
393,72971,3053,Westbound Antioch BART,1,310,69,,,
393,72970,2951,Westbound Antioch BART,1,216,69,,,
393,72971,3081,Westbound Antioch BART,1,313,69,,,
393,72970,2964,Westbound Antioch BART,1,218,69,,,
393,72971,3027,Westbound Antioch BART,1,307,69,,,
393,72970,2873,Westbound Antioch BART,1,204,69,,,
393,72971,2987,Westbound Antioch BART,1,303,69,,,
393,72970,2959,Westbound Antioch BART,1,217,69,,,
393,72971,3029,Westbound Antioch BART,1,307,69,,,
395,72970,2915,Loop Antioch BART,0,210,73,,,
395,72971,3022,Loop Antioch BART,0,307,73,,,
395,72970,2887,Loop Antioch BART,0,206,73,,,
395,72971,3033,Loop Antioch BART,0,308,73,,,
395,72970,2878,Loop Antioch BART,0,205,73,,,
395,72971,1019,Loop Antioch BART,0,304,73,,,
395,72970,2866,Loop Antioch BART,0,204,73,,,
395,72971,1036,Loop Antioch BART,0,306,73,,,
395,72970,2853,Loop Antioch BART,0,202,73,,,
395,72971,3077,Loop Antioch BART,0,313,73,,,
395,72970,2898,Loop Antioch BART,0,207,73,,,
395,72971,3051,Loop Antioch BART,0,310,73,,,
395,72970,2930,Loop Antioch BART,0,212,73,,,
395,72971,1713,Loop Antioch BART,0,307,73,,,
395,72970,2912,Loop Antioch BART,0,209,73,,,
395,72971,3025,Loop Antioch BART,0,307,73,,,
395,72970,2883,Loop Antioch BART,0,205,73,,,
395,72971,3038,Loop Antioch BART,0,308,73,,,
395,72970,2871,Loop Antioch BART,0,204,73,,,
395,72971,1024,Loop Antioch BART,0,304,73,,,
395,72970,2957,Loop Antioch BART,0,217,73,,,
395,72971,3020,Loop Antioch BART,0,306,73,,,
383,72969,131,Eastbound Blue Goose Park,0,122,84,,,
383,72969,222,Eastbound Blue Goose Park,0,135,84,,,
383,72969,171,Eastbound Blue Goose Park,0,128,84,,,
383,72969,224,Eastbound Blue Goose Park,0,135,84,,,
383,72969,173,Eastbound Blue Goose Park,0,128,84,,,
383,72969,226,Eastbound Blue Goose Park,0,135,84,,,
383,72969,175,Eastbound Blue Goose Park,0,128,84,,,
383,72969,258,Eastbound Blue Goose Park,0,139,84,,,
383,72969,177,Eastbound Blue Goose Park,0,128,84,,,
383,72969,198,Eastbound Blue Goose Park,0,132,84,,,
383,72969,179,Eastbound Blue Goose Park,0,128,84,,,
383,72969,200,Eastbound Blue Goose Park,0,132,84,,,
383,72969,31,Eastbound Blue Goose Park,0,112,84,,,
383,72969,12,Westbound Tri Delta Transit,1,110,85,,,
383,72969,170,Westbound Tri Delta Transit,1,128,85,,,
383,72969,223,Westbound Tri Delta Transit,1,135,85,,,
383,72969,172,Westbound Tri Delta Transit,1,128,85,,,
383,72969,225,Westbound Tri Delta Transit,1,135,85,,,
383,72969,174,Westbound Tri Delta Transit,1,128,85,,,
383,72969,227,Westbound Tri Delta Transit,1,135,85,,,
383,72969,176,Westbound Tri Delta Transit,1,128,85,,,
383,72969,259,Westbound Tri Delta Transit,1,139,85,,,
383,72969,178,Westbound Tri Delta Transit,1,128,85,,,
383,72969,199,Westbound Tri Delta Transit,1,132,85,,,
383,72969,180,Westbound Tri Delta Transit,1,128,85,,,
300,72969,317,Eastbound Brentwood Park & Ride,0,104,27,,,
300,72969,182,Eastbound Brentwood Park & Ride,0,129,27,,,
300,72969,203,Eastbound Brentwood Park & Ride,0,133,27,,,
300,72969,189,Eastbound Brentwood Park & Ride,0,130,27,,,
300,72969,262,Eastbound Brentwood Park & Ride,0,139,27,,,
300,72969,122,Eastbound Brentwood Park & Ride,0,120,27,,,
300,72969,220,Eastbound Brentwood Park & Ride,0,134,27,,,
300,72969,288,Eastbound Brentwood Park & Ride,0,145,27,,,
300,72969,339,Eastbound Brentwood Park & Ride,0,105,27,,,
300,72969,1,Westbound Antioch BART,0,102,26,,,
300,72969,315,Westbound Antioch BART,0,104,26,,,
300,72969,316,Westbound Antioch BART,0,104,26,,,
300,72969,150,Westbound Antioch BART,0,126,26,,,
300,72969,149,Westbound Antioch BART,0,125,26,,,
300,72969,268,Westbound Antioch BART,0,141,26,,,
300,72969,230,Westbound Antioch BART,0,135,26,,,
300,72969,168,Westbound Antioch BART,0,127,26,,,
300,72969,208,Westbound Antioch BART,0,133,26,,,
300,72969,326,Westbound Antioch BART,0,104,26,,,
300,72969,355,Westbound Antioch BART,0,108,26,,,
300,72969,221,Westbound Antioch BART,0,134,26,,,
200,72969,134,Eastbound Pittsburg-Bay Point BART,0,123,11,,,
200,72969,185,Eastbound Pittsburg-Bay Point BART,0,130,11,,,
200,72969,164,Eastbound Pittsburg-Bay Point BART,0,127,11,,,
200,72969,141,Eastbound Pittsburg-Bay Point BART,0,124,11,,,
200,72969,314,Eastbound Pittsburg-Bay Point BART,0,103,11,,,
200,72969,197,Eastbound Pittsburg-Bay Point BART,0,132,11,,,
200,72969,323,Eastbound Pittsburg-Bay Point BART,0,104,11,,,
200,72969,130,Eastbound Pittsburg-Bay Point BART,0,121,11,,,
200,72969,8,Eastbound Pittsburg-Bay Point BART,0,109,11,,,
200,72969,158,Eastbound Pittsburg-Bay Point BART,0,126,11,,,
200,72969,133,Westbound Amtrak,1,123,10,,,
200,72969,184,Westbound Amtrak,1,130,10,,,
200,72969,163,Westbound Amtrak,1,127,10,,,
200,72969,140,Westbound Amtrak,1,124,10,,,
200,72969,313,Westbound Amtrak,1,103,10,,,
200,72969,196,Westbound Amtrak,1,132,10,,,
200,72969,322,Westbound Amtrak,1,104,10,,,
200,72969,129,Westbound Amtrak,1,121,10,,,
200,72969,7,Westbound Amtrak,1,109,10,,,
200,72969,157,Westbound Amtrak,1,126,10,,,
201,72969,358,Westbound Concord BART,0,109,8,,,
201,72969,307,Westbound Concord BART,0,102,8,,,
201,72969,23,Westbound Concord BART,0,112,8,,,
201,72969,125,Westbound Concord BART,0,121,8,,,
201,72969,34,Westbound Concord BART,0,113,8,,,
201,72969,302,Westbound Concord BART,0,101,8,,,
201,72969,362,Westbound Concord BART,0,109,8,,,
201,72969,118,Westbound Concord BART,0,120,8,,,
201,72969,364,Westbound Concord BART,0,109,8,,,
201,72969,155,Westbound Concord BART,0,126,8,,,
201,72969,239,Westbound Concord BART,0,136,8,,,
201,72969,6,Westbound Concord BART,0,141,8,,,
201,72969,241,Westbound Concord BART,0,136,8,,,
201,72969,145,Westbound Concord BART,0,124,8,,,
201,72969,359,Eastbound Pittsburg-Bay Point BART,1,109,9,,,
201,72969,308,Eastbound Pittsburg-Bay Point BART,1,102,9,,,
201,72969,24,Eastbound Pittsburg-Bay Point BART,1,112,9,,,
201,72969,126,Eastbound Pittsburg-Bay Point BART,1,121,9,,,
201,72969,35,Eastbound Pittsburg-Bay Point BART,1,113,9,,,
201,72969,303,Eastbound Pittsburg-Bay Point BART,1,101,9,,,
201,72969,363,Eastbound Pittsburg-Bay Point BART,1,109,9,,,
201,72969,119,Eastbound Pittsburg-Bay Point BART,1,120,9,,,
201,72969,2,Eastbound Pittsburg-Bay Point BART,1,109,9,,,
201,72969,156,Eastbound Pittsburg-Bay Point BART,1,126,9,,,
201,72969,240,Eastbound Pittsburg-Bay Point BART,1,136,9,,,
201,72969,270,Eastbound Pittsburg-Bay Point BART,1,141,9,,,
201,72969,242,Eastbound Pittsburg-Bay Point BART,1,136,9,,,
201,72969,146,Eastbound Pittsburg-Bay Point BART,1,124,9,,,
202,72969,318,Loop Brentwood Park & Ride,0,104,17,,,
202,72969,229,Loop Brentwood Park & Ride,0,135,17,,,
202,72969,250,Loop Brentwood Park & Ride,0,137,17,,,
379,72969,281,Westbound Antioch BART,0,144,20,,,
379,72969,213,Eastbound Kaiser,1,134,21,,,
389,72969,298,Loop Pittsburg-Bay Point BART,0,101,63,,,
389,72969,299,Loop Pittsburg-Bay Point BART,0,101,63,,,
389,72969,343,Loop Pittsburg-Bay Point BART,0,106,63,,,
389,72969,344,Loop Pittsburg-Bay Point BART,0,106,63,,,
389,72969,349,Loop Pittsburg-Bay Point BART,0,108,63,,,
389,72969,215,Loop Pittsburg-Bay Point BART,0,134,63,,,
389,72969,165,Loop Pittsburg-Bay Point BART,0,127,63,,,
389,72969,18,Loop Pittsburg-Bay Point BART,0,111,63,,,
389,72969,206,Loop Pittsburg-Bay Point BART,0,133,63,,,
389,72969,5,Loop Pittsburg-Bay Point BART,0,133,63,,,
389,72969,334,Loop Pittsburg-Bay Point BART,0,105,63,,,
389,72969,335,Loop Pittsburg-Bay Point BART,0,105,63,,,
389,72969,276,Loop Pittsburg-Bay Point BART,0,143,63,,,
389,72969,286,Loop Pittsburg-Bay Point BART,0,145,63,,,
389,72969,159,Loop Pittsburg-Bay Point BART,0,126,63,,,
389,72969,50,Loop Pittsburg-Bay Point BART,0,115,63,,,
389,72969,211,Loop Pittsburg-Bay Point BART,0,133,63,,,
380,72969,345,Eastbound Antioch BART,0,107,32,,,
380,72969,310,Eastbound Antioch BART,0,103,32,,,
380,72969,330,Eastbound Antioch BART,0,105,32,,,
380,72969,16,Eastbound Antioch BART,0,111,32,,,
380,72969,135,Eastbound Antioch BART,0,123,32,,,
380,72969,186,Eastbound Antioch BART,0,130,32,,,
380,72969,216,Eastbound Antioch BART,0,134,32,,,
380,72969,46,Eastbound Antioch BART,0,115,32,,,
380,72969,166,Eastbound Antioch BART,0,127,32,,,
380,72969,248,Eastbound Antioch BART,0,137,32,,,
380,72969,84,Eastbound Antioch BART,0,118,32,,,
380,72969,324,Eastbound Antioch BART,0,104,32,,,
380,72969,121,Eastbound Antioch BART,0,120,32,,,
380,72969,219,Eastbound Antioch BART,0,134,32,,,
380,72969,9,Eastbound Antioch BART,0,109,32,,,
380,72969,233,Eastbound Antioch BART,0,135,32,,,
380,72969,160,Eastbound Antioch BART,0,126,32,,,
380,72969,51,Eastbound Antioch BART,0,115,32,,,
380,72969,212,Eastbound Antioch BART,0,133,32,,,
380,72969,3114,Westbound Pittsburg-Bay Point BART,1,105,49,,,
380,72969,77,Westbound Pittsburg-Bay Point BART,1,117,49,,,
380,72969,346,Westbound Pittsburg-Bay Point BART,1,107,49,,,
380,72969,151,Westbound Pittsburg-Bay Point BART,1,126,49,,,
380,72969,139,Westbound Pittsburg-Bay Point BART,1,124,49,,,
380,72969,17,Westbound Pittsburg-Bay Point BART,1,111,49,,,
380,72969,205,Westbound Pittsburg-Bay Point BART,1,133,49,,,
380,72969,187,Westbound Pittsburg-Bay Point BART,1,130,49,,,
380,72969,28,Westbound Pittsburg-Bay Point BART,1,112,49,,,
380,72969,353,Westbound Pittsburg-Bay Point BART,1,108,49,,,
380,72969,275,Westbound Pittsburg-Bay Point BART,1,143,49,,,
380,72969,218,Westbound Pittsburg-Bay Point BART,1,134,49,,,
380,72969,264,Westbound Pittsburg-Bay Point BART,1,140,49,,,
380,72969,144,Westbound Pittsburg-Bay Point BART,1,124,49,,,
380,72969,169,Westbound Pittsburg-Bay Point BART,1,127,49,,,
380,72969,87,Westbound Pittsburg-Bay Point BART,1,118,49,,,
380,72969,356,Westbound Pittsburg-Bay Point BART,1,108,49,,,
380,72969,10,Westbound Pittsburg-Bay Point BART,1,109,49,,,
380,72969,244,Westbound Pittsburg-Bay Point BART,1,136,49,,,
380,72969,161,Westbound Pittsburg-Bay Point BART,1,126,49,,,
380,72969,79,Eastbound Antioch BART,0,118,50,,,
381,72969,52,Eastbound Los Medanos College,0,116,22,,,
381,72969,90,Eastbound Los Medanos College,0,119,22,,,
381,72969,54,Eastbound Los Medanos College,0,116,22,,,
381,72969,92,Eastbound Los Medanos College,0,119,22,,,
381,72969,56,Eastbound Los Medanos College,0,116,22,,,
381,72969,94,Eastbound Los Medanos College,0,119,22,,,
381,72969,58,Eastbound Los Medanos College,0,116,22,,,
381,72969,96,Eastbound Los Medanos College,0,119,22,,,
381,72969,60,Eastbound Los Medanos College,0,116,22,,,
381,72969,98,Eastbound Los Medanos College,0,119,22,,,
381,72969,62,Eastbound Los Medanos College,0,116,22,,,
381,72969,100,Eastbound Los Medanos College,0,119,22,,,
381,72969,64,Eastbound Los Medanos College,0,116,22,,,
381,72969,102,Eastbound Los Medanos College,0,119,22,,,
381,72969,66,Eastbound Los Medanos College,0,116,22,,,
381,72969,104,Eastbound Los Medanos College,0,119,22,,,
381,72969,68,Eastbound Los Medanos College,0,116,22,,,
381,72969,106,Eastbound Los Medanos College,0,119,22,,,
381,72969,70,Eastbound Los Medanos College,0,116,22,,,
381,72969,108,Eastbound Los Medanos College,0,119,22,,,
381,72969,71,Eastbound Los Medanos College,0,116,22,,,
381,72969,110,Eastbound Los Medanos College,0,119,22,,,
381,72969,73,Eastbound Los Medanos College,0,116,22,,,
381,72969,112,Eastbound Los Medanos College,0,119,22,,,
381,72969,75,Eastbound Los Medanos College,0,116,22,,,
381,72969,114,Eastbound Los Medanos College,0,119,22,,,
381,72969,89,Westbound Pittsburg Marina,1,119,28,,,
381,72969,53,Westbound Pittsburg Marina,1,116,28,,,
381,72969,91,Westbound Pittsburg Marina,1,119,28,,,
381,72969,55,Westbound Pittsburg Marina,1,116,28,,,
381,72969,93,Westbound Pittsburg Marina,1,119,28,,,
381,72969,57,Westbound Pittsburg Marina,1,116,28,,,
381,72969,95,Westbound Pittsburg Marina,1,119,28,,,
381,72969,59,Westbound Pittsburg Marina,1,116,28,,,
381,72969,97,Westbound Pittsburg Marina,1,119,28,,,
381,72969,61,Westbound Pittsburg Marina,1,116,28,,,
381,72969,99,Westbound Pittsburg Marina,1,119,28,,,
381,72969,63,Westbound Pittsburg Marina,1,116,28,,,
381,72969,101,Westbound Pittsburg Marina,1,119,28,,,
381,72969,65,Westbound Pittsburg Marina,1,116,28,,,
381,72969,103,Westbound Pittsburg Marina,1,119,28,,,
381,72969,67,Westbound Pittsburg Marina,1,116,28,,,
381,72969,105,Westbound Pittsburg Marina,1,119,28,,,
381,72969,69,Westbound Pittsburg Marina,1,116,28,,,
381,72969,107,Westbound Pittsburg Marina,1,119,28,,,
381,72969,3,Westbound Pittsburg Marina,1,116,28,,,
381,72969,109,Westbound Pittsburg Marina,1,119,28,,,
